village,lat,lon,postal_code,district,region,atr_name,atr_num_benef,in_sample
Ab Do    ,36.61922,71.1856,3472,Wardooj,Badakhshan,,,0
Abjan    ,36.88763,71.07416,3472,Wardooj,Badakhshan,Abjen,149,1
Ahwar    ,36.88688,71.08652,3472,Wardooj,Badakhshan,Ahwar,40,1
Alosh Garayo    ,36.68051,71.12378,3472,Wardooj,Badakhshan,,,0
Ashtakan    ,36.93894,71.04427,3472,Wardooj,Badakhshan,Ashtakan,66,1
Ashterab    ,36.8196,71.05059,3472,Wardooj,Badakhshan,Ashtirab,100,1
Asten    ,36.92228,71.0628,3472,Wardooj,Badakhshan,Asten,61,1
Bara Bara    ,36.87732,71.05336,3472,Wardooj,Badakhshan,Bara Bara,150,1
Bashand    ,36.78487,71.09159,3472,Wardooj,Badakhshan,Bashand,269,1
Char Dara    ,36.91935,71.04891,3472,Wardooj,Badakhshan,Char Dara,23,1
Chashm Wakhail    ,36.94734,71.02245,3472,Wardooj,Badakhshan,,,0
Dahi Do Rowza    ,36.91258,71.06384,3472,Wardooj,Badakhshan,Dahi Do Roz,102,1
Dahi Qala    ,36.63314,71.13216,3472,Wardooj,Badakhshan,Dahi Qalat,304,1
Ghachan    ,36.83872,71.08407,3472,Wardooj,Badakhshan,Ghachan,136,1
Ghanyo    ,36.87247,71.08143,3472,Wardooj,Badakhshan,Ghanyw,300,1
Kaz Dahi    ,36.62819,71.1492,3472,Wardooj,Badakhshan,Kaz Dahi,16,1
Khaisrow    ,36.94901,71.03565,3472,Wardooj,Badakhshan,Khisraw,64,1
Khashben    ,36.83067,71.05371,3472,Wardooj,Badakhshan,Khashben,105,1
Khoch    ,36.87046,71.0507,3472,Wardooj,Badakhshan,Khoch,87,1
Koyak    ,36.61247,71.17452,3472,Wardooj,Badakhshan,,,0
Mali Hazara    ,36.89325,71.07524,3472,Wardooj,Badakhshan,,,0
Markaz Wolluswaly Shakaran    ,36.90573,71.06848,3472,Wardooj,Badakhshan,Markaz Wolluswaly Shakaran 1716,328,1
Morkan    ,36.89897,71.06928,3472,Wardooj,Badakhshan,Morkan,310,1
Pass Bagh    ,36.95563,71.00243,3472,Wardooj,Badakhshan,Pass Bagh,100,1
Peash    ,36.79079,71.0656,3472,Wardooj,Badakhshan,,,0
Rabat Chehltan    ,36.59864,71.2401,3472,Wardooj,Badakhshan,,,0
Rukhshan    ,36.8601,71.0483,3472,Wardooj,Badakhshan,,,0
Safid Dara    ,36.64164,71.15244,3472,Wardooj,Badakhshan,Safid Dara,94,1
Sang Kabod    ,36.92499,71.05954,3472,Wardooj,Badakhshan,Sang Kabod,164,1
Sara Sang Ya Say Sang    ,36.64416,71.13215,3472,Wardooj,Badakhshan,,,0
Sar Dahi    ,36.69219,71.14311,3472,Wardooj,Badakhshan,,,0
Shafchan    ,36.94607,71.03373,3472,Wardooj,Badakhshan,Shafchan,33,1
Shah Gan    ,36.92726,71.04765,3472,Wardooj,Badakhshan,,,0
Shahid Abad    ,36.88453,71.04155,3472,Wardooj,Badakhshan,,,0
Sufeyan    ,36.76089,71.07428,3472,Wardooj,Badakhshan,Sufeyan,92,1
Tarang    ,36.91598,71.05054,3472,Wardooj,Badakhshan,Tarang,207,1
Teer Garan    ,36.69325,71.15378,3472,Wardooj,Badakhshan,Teer Garan,422,1
Wakhial Bala    ,36.94298,71.02406,3472,Wardooj,Badakhshan,Wakhial Bala,72,1
Warche    ,36.68573,71.14186,3472,Wardooj,Badakhshan,,,0
Yakhshaira    ,36.88371,71.10187,3472,Wardooj,Badakhshan,Yakhshira,131,1
Yazaghcha    ,36.95965,71.01343,3472,Wardooj,Badakhshan,,,0
Yomal    ,36.80871,71.06944,3472,Wardooj,Badakhshan,Yomal,163,1
Zo    ,36.83645,71.06892,3472,Wardooj,Badakhshan,Zo,71,1